biblionumber;barcode;itemcallnumber
1;20140375;"KTS1 C3.03 01A01a"
1;20140376;"KTS1 C3.03 01A01b"
2;20140377;"KTS1 C3.03 01A02"
3;20140378;"KTS1 C3.03 01A03"
4;20140379;"KTS1 C3.03 01A04"
5;20140389;"KTS1 C3.03 01A05"
6;20140391;"KTS1 C3.03 01A06"
7;20140390a;"KTS1 C3.03 01A07a"
8;20140390b;"KTS1 C3.03 01A07b"
9;20140392;"KTS1 C3.03 01A08"
10;20140393;"KTS1 C3.03 01A09"
11;20140394;"KTS1 C3.03 01A10"
12;20140395;"KTS1 C3.03 01A11"
13;20140140;"KTS1 C3.03 01A12_01"
14;20140299;"KTS1 C3.03 01A12_02"
15;20140383a;"KTS1 C3.03 01A13a"
16;20140396;"KTS1 C3.03 01A14"
17;20140383b;"KTS1 C3.03 01A13b"
18;20140397;"KTS1 C3.03 01A15"
19;20140398;"KTS1 C3.03 01A17"
20;20140387;"KTS1 C3.03 01A18"
21;20140386;"KTS1 C3.03 01A19"
22;20140385;"KTS1 C3.03 01A20"
23;20140384;"KTS1 C3.03 01A21"
24;20140399;"KTS1 C3.03 01A16"
25;20140402;"KTS1 C3.03 01A23"
26;20140400;"KTS1 C3.03 01A24"
28;20140403;"KTS1 C3.03 01A26_01-02"
29;20140404;"KTS1 C3.03 01A27"
30;20140388;"KTS1 C3.03 01A25"
31;20140413;"KTS1 C3.03 01A28"
32;20136024;"KTS1 C3.03 01A29"
33;20136025;"KTS1 C3.03 01A30"
34;20136023;"KTS1 C3.03 01A31"
35;20140414;"KTS1 C3.03 01A33"
36;20136022;"KTS1 C3.03 01A32"
37;20140411;"KTS1 C3.03 01A34"
38;20140410;"KTS1 C3.03 01A36"
39;20140412;"KTS1 C3.03 01A35"
40;20140415;"KTS1 C3.03 01A37"
41;20140405;"KTS1 C3.03 01A39"
42;20140409;"KTS1 C3.03 01A38"
43;20140406a;"KTS1 C3.03 01A40a"
44;20140406c;"KTS1 C3.03 01A40c"
45;20140406b;"KTS1 C3.03 01A40b"
46;20140406d;"KTS1 C3.03 01A40d"
47;20140406e;"KTS1 C3.03 01A40e"
48;20140406f;"KTS1 C3.03 01A40f"
49;20140417;"KTS1 C3.26 01A42"
50;20145663;"KTS1 C3.26 01B01"
51;20140416;"KTS1 C3.03 01A41"
52;20145665;"KTS1 C3.26 01B03"
53;20145664;"KTS1 C3.26 01B02"
54;20136021;"KTS1 C3.26 01B04"
55;20145676;"KTS1 C3.26 01B13"
56;20145675;"KTS1 C3.26 01B14"
57;20145674;"KTS1 C3.26 01B15"
58;20145677;"KTS1 C3.26 01B16"
59;20145678;"KTS1 C3.26 01B17"
60;20145679;"KTS1 C3.26 01B18"
61;20145666;"KTS1 C3.26 01B05"
61;20145667;"KTS1 C3.26 01B06"
61;20145668;"KTS1 C3.26 01B07"
61;20145669;"KTS1 C3.26 01B08"
61;20145670;"KTS1 C3.26 01B09"
61;20145671;"KTS1 C3.26 01B10"
61;20145672;"KTS1 C3.26 01B11"
61;20145673;"KTS1 C3.26 01B12"
62;20145680;"KTS1 C3.26 01B19"
63;20145686;"KTS1 C3.26 01B20"
64;20145685;"KTS1 C3.26 01B21"
65;20145683;"KTS1 C3.26 01B23"
66;20145682;"KTS1 C3.26 01B24"
67;20145684;"KTS1 C3.26 01B22"
68;20145681;"KTS1 C3.26 01B32"
69;20137522;"KTS1 C3.26 01B33"
70;20137763;"KTS1 C1.51 01C02"
71;20137764;"KTS1 C1.51 01C03"
71;20137765;"KTS1 C1.51 01C04"
71;20137766;"KTS1 C1.51 01C05"
71;20137767;"KTS1 C1.51 01C06"
72;20137771;"KTS1 C1.51 01C07"
72;20137772;"KTS1 C1.51 01C08"
72;20137773;"KTS1 C1.51 01C09"
72;20137774;"KTS1 C1.51 01C10"
73;20137782;"KTS1 C1.51 01C11"
74;20137762;"KTS1 C1.51 01C01"
75;20137748;"KTS1 C1.51 01C12"
76;20137783;"KTS1 C1.51 01C13"
76;20137784;"KTS1 C1.51 01C14"
76;20137785;"KTS1 C1.51 01C16"
77;20137787;"KTS1 C1.52 01C17"
77;20137788;"KTS1 C1.52 01C18"
78;20137786;"KTS1 C1.52 01C15"
79;20137775;"KTS1 C1.52 01C20"
80;20137780;"KTS1 C1.52 01C21"
81;20137779;"KTS1 C1.52 01D01"
82;20137789;"KTS1 C1.52 01D02"
83;20137790;"KTS1 C1.52 01D03_01"
83;20137791;"KTS1 C1.52 01D03_02"
83;20137792;"KTS1 C1.52 01D03_03"
84;20137781;"KTS1 C1.52 01C19"
85;20137794;"KTS1 C1.52 01D05"
86;20137795;"KTS1 C1.52 01D06"
87;20137796;"KTS1 C1.52 01D07"
88;20137793;"KTS1 C1.52 01D04"
89;20137797;"KTS1 C1.52 01D09"
90;20137805;"KTS1 C1.52 01D10"
91;20137798;"KTS1 C1.52 01D12"
92;20136220;"KTS1 C1.52 01D08"
93;20137799;"KTS1 C1.52 01D13"
